Date,Close,Volume,Open,High,Low
08/20/2021,159.3,1154858,153.8,160.09,153.24
08/19/2021,152.9,1196548,156.77,157.9899,150.78
08/18/2021,157.05,1411842,163.25,165.6,156.75
08/17/2021,163.55,1215938,161.19,169.48,161.1
08/16/2021,163.93,1574877,161,169.8799,159.1601
08/13/2021,162.52,1014751,160.47,163.5499,157.4101
08/12/2021,162.35,1319832,159.88,164.28,157.33
08/11/2021,158.78,945428,158.43,159.05,154.62
08/10/2021,159.05,1623334,161.36,166.8999,155.352
08/09/2021,161.13,2249204,151.8,164.71,150.66
08/06/2021,151.77,1352689,154.59,156.5,150.31
08/05/2021,153.44,2412123,148,157.6,145.22
08/04/2021,146.8,2393484,152.73,157.79,145.691
08/03/2021,152.75,14450620,156.74,158.89,148.2
08/02/2021,157.65,2532931,162,163.5899,155.06
07/30/2021,161.12,2377118,165,167.22,158.87
07/29/2021,164.86,2239995,170.6,173.89,164.51
07/28/2021,169.12,4100845,175.72,177.12,164.27
07/27/2021,178.54,1214775,183,185,176.6601
07/26/2021,183.94,1260593,180.36,186.04,178.76
07/23/2021,180.36,1316168,181,181.6,173.84
07/22/2021,178.85,1412988,185.3,187.69,176.15
07/21/2021,185.81,2229184,187.79,195.51,182.11
07/20/2021,191.18,3101090,173.9,193.6399,172.42
07/19/2021,173.49,2436934,163.3,176,161.22
07/16/2021,169.04,3287929,170.15,179.47,166.3
07/15/2021,166.82,4298589,160,171.99,158.01
07/14/2021,167.62,3913770,180.49,182.38,165.07
07/13/2021,180.06,2397944,187.68,188.79,179
07/12/2021,189.25,1636324,191.42,197.75,187.42
07/09/2021,191.23,1582925,190.88,194.78,186.75
07/08/2021,191.38,2857514,179.83,194.22,179.5
07/07/2021,190.66,4239500,196,197.5,177.56
07/06/2021,199.56,2768062,204,204.77,193.7101
07/02/2021,202.83,2602729,204.8,205.45,196.5
07/01/2021,204.36,2742112,213.4,216.83,202
06/30/2021,214.14,2539648,209.69,215.2787,206.9379
06/29/2021,210.88,2480009,213.59,215.22,208.01
06/28/2021,213.25,4879364,211.25,224.45,210.2
06/25/2021,209.51,12692750,214,214.2,198.5
06/24/2021,212.31,3863339,221.156,227.45,211.6
06/23/2021,219.34,3555090,221.45,222.57,214.12
06/22/2021,220.4,8200177,217.73,225.88,209.17
06/21/2021,200.37,5120186,216.95,218.3999,197
06/18/2021,213.82,4320317,220.18,223.49,213
06/17/2021,223.59,4608573,224,233.66,221.48
06/16/2021,222.97,5564827,215.24,228.7305,209
06/15/2021,222.5,7301935,226.36,229.25,208
06/14/2021,229.44,7132627,236.5,238.01,219.2
06/11/2021,233.34,15580770,222.35,241.13,206.13
06/10/2021,220.39,22980150,282,288,211
06/09/2021,302.56,13429310,303.12,328,291.51
06/08/2021,300,17439120,292,344.66,281
06/07/2021,280.01,6051490,258,282,255.2001
06/04/2021,248.36,3637515,256.02,265,245.77
06/03/2021,258.18,7999955,265.71,274.43,242.1206
06/02/2021,282.24,16019220,248.88,294,244.3
06/01/2021,249.02,9625610,233.48,254.98,227.07
05/28/2021,222,11751370,262.97,268.7999,221.43
05/27/2021,254.13,15526300,229.8,264,227
05/26/2021,242.56,21119870,229,248.4794,225.55
05/25/2021,209.43,14887460,181,217.11,181
05/24/2021,180.01,4664348,175.85,188.4576,173.35
05/21/2021,176.79,3654683,171,179.24,170.33
05/20/2021,170.49,2478168,170.79,174.91,166.9
05/19/2021,168.83,4825905,171.99,178.9799,164.15
05/18/2021,180.67,7738717,174.54,189.2,168.27
05/17/2021,180.6,7372763,159.85,182.5,159
05/14/2021,159.92,4293530,160,166.47,156.22
05/13/2021,164.5,8873487,147.44,169.95,146.43
05/12/2021,144.79,2731510,145.7,150.5,142.231
05/11/2021,146.92,4684584,137,150.5,136.5
05/10/2021,143.22,4806685,161.31,161.585,143
05/07/2021,161.11,2934624,160.11,167.41,157.5001
05/06/2021,161.01,2942802,160.86,164.72,155.6
05/05/2021,159.48,1789186,161.83,165.5,158.33
05/04/2021,160.73,4007512,159,161.49,151.8
05/03/2021,162.2,5261019,177.49,177.49,159.61
04/30/2021,173.59,4433565,175,183.8,172.7
04/29/2021,176.19,3760250,176.56,180.86,170.75
04/28/2021,178.58,5788938,172.1,181.98,166.0281
04/27/2021,177.77,8932718,183.55,188,173.17
04/26/2021,168.93,10532110,150.98,174.6795,148.76
04/23/2021,151.18,4042057,149,153.6598,144.7
04/22/2021,151.17,4345809,159.1,159.1,146.86
04/21/2021,158.51,3812845,158.4,162.98,155.92
04/20/2021,158.53,4658608,164.14,164.89,153.36
04/19/2021,164.37,10520210,171.8,175.2,162.33
04/16/2021,154.69,5214710,156,160.1969,151.25
04/15/2021,156.44,7856780,163,166.2546,152.8
04/14/2021,166.53,21138140,143.57,174.09,143
04/13/2021,140.99,6806868,141.88,145.3771,132
04/12/2021,141.09,16683600,158.11,163.9,135.01
04/09/2021,158.36,9462380,169.7,171.58,153
04/08/2021,170.26,10047390,185.88,185.88,164.3
04/07/2021,177.97,4768261,183.22,184.4999,176.11
04/06/2021,184.5,6218318,185.21,192,183.56
04/05/2021,186.95,14070490,171.004,195,164.81
04/01/2021,191.45,9334345,193.36,196.969,183.6
03/31/2021,189.82,8393834,197.5,199.46,187.1102
03/30/2021,194.46,17094920,187.5,204.3,182
03/29/2021,181.3,10042180,180.75,193.92,173.51
